,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,thor: love and thunder,7,4,12,26
1,1,shamshera,7,4,6,14
2,2,everything everywhere all at once,7,4,12,26
3,3,jurassic world dominion,7,4,17,7
4,4,shazam! fury of the gods,7,4,12,26
5,5,bullet train,7,2,13,0
6,6,dc league of super-pets,3,12,1,34
7,7,dungeons & dragons: honor among thieves,7,4,3,2
8,8,doctor strange in the multiverse of madness,7,4,3,2
9,9,john wick: chapter 4,7,15,13,50
10,10,prey,7,1,15,28
11,11,ant-man and the wasp: quantumania,7,4,12,26
12,12,black adam,7,10,17,11
13,13,the batman,7,15,6,6
14,14,the northman,7,4,6,14
15,15,spider-man: no way home,7,4,3,2
16,16,guardians of the galaxy vol. 3,7,4,12,26
17,17,samaritan,7,1,3,35
18,18,the lost city,7,4,12,26
19,19,black panther,7,4,17,7
20,20,lightyear,3,12,1,34
21,21,the man from toronto,7,4,12,26
22,22,paws of fury: the legend of hank,3,12,12,56
23,23,no time to die,7,4,13,47
24,24,the unbearable weight of massive talent,7,2,10,15
25,25,avengers: endgame,7,4,6,14
26,26,spiderhead,7,15,6,6
27,27,fantastic beasts: the secrets of dumbledore,7,4,3,2
28,28,blade runner 2049,7,1,0,10
29,29,the princess,7,1,3,35
30,30,dune: part one,7,4,6,14
31,31,jurassic park,7,4,17,7
32,32,john wick,7,15,13,50
33,33,eternals,7,4,3,2
34,34,thor: ragnarok,7,4,12,26
35,35,heat,7,15,6,6
36,36,deadpool,7,4,12,26
37,37,the dark knight,7,15,6,6
38,38,morbius,7,4,15,32
39,39,thirteen lives,7,4,7,14
40,40,the lord of the rings: the fellowship of the ring,7,4,6,14
41,41,inception,7,4,17,7
42,42,shazam!,7,4,12,26
43,43,avatar: the way of water,7,4,17,7
44,44,resident evil: welcome to raccoon city,7,11,17,11
45,45,free guy,7,4,12,26
46,46,ambulance,7,15,6,6
47,47,terminator: dark fate,7,4,17,7
48,48,expend4bles,7,4,13,47
49,49,deadpool 2,7,4,12,26
50,50,tenet,7,14,13,13
51,51,fantastic four,7,4,17,7
52,52,the gentlemen,7,2,10,15
53,53,avengers: infinity war,7,4,17,7
54,54,shang-chi and the legend of the ten rings,7,4,3,2
55,55,the king's man,7,4,13,47
56,56,nobody,7,15,6,6
57,57,blade,7,4,3,2
58,58,sonic the hedgehog 2,7,4,12,26
59,59,thor,7,4,3,2
60,60,guardians of the galaxy,7,4,12,26
61,61,gladiator,7,4,6,14
62,62,wrath of man,7,15,13,50
63,63,john wick: chapter 3 - parabellum,7,15,13,50
64,64,the adam project,7,4,12,26
65,65,logan,7,1,17,40
66,66,the hunger games,7,4,17,7
67,67,star wars,7,4,3,2
68,68,the marvels,7,4,3,2
69,69,pirates of the caribbean: the curse of the black pearl,7,4,3,2
70,70,the suicide squad,7,4,12,26
71,71,ek villain returns,7,5,13,47
72,72,12 strong,7,1,9,38
73,73,mad max: fury road,7,4,17,7
74,74,jurassic world: fallen kingdom,7,4,17,7
75,75,jurassic world,7,4,17,7
76,76,kingsman: the secret service,7,4,12,26
77,77,chips,7,2,10,15
78,78,day shift,7,2,3,35
79,79,avatar,7,4,3,2
80,80,the lord of the rings: the return of the king,7,4,6,14
81,81,john wick: chapter 2,7,15,13,50
82,82,mission: impossible - fallout,7,4,13,47
83,83,memory,7,15,13,50
84,84,moonfall,7,4,17,7
85,85,black widow,7,4,17,7
86,86,léon,7,15,6,6
87,87,interceptor,7,4,6,14
88,88,ford v ferrari,7,7,6,39
89,89,trading paint,7,1,4,35
90,90,resident evil,7,11,17,11
91,91,red notice,7,2,13,0
92,92,zack snyder's justice league,7,4,3,2
93,93,mission: impossible,7,4,13,47
94,94,enola holmes,7,4,10,51
95,95,suicide squad,7,4,3,2
96,96,spider-man: homecoming,7,4,17,7
97,97,blade runner,7,1,17,40
98,98,the avengers,7,4,17,7
99,99,doragon boru supa supa hiro,3,12,1,34
100,100,aquaman and the lost kingdom,7,4,3,2
101,101,f9,7,15,13,50
102,102,the moderator,7,1,13,16
103,103,spider-man,7,4,17,7
104,104,captain marvel,7,4,17,7
105,105,the last duel,7,1,9,38
106,106,captain america: the first avenger,7,4,17,7
107,107,iron man,7,4,17,7
108,108,captain america: new world order,7,4,17,7
109,109,baywatch,7,2,10,15
110,110,star wars: episode ix - the rise of skywalker,7,4,3,2
111,111,batgirl,7,4,10,51
112,112,ghostbusters,7,2,3,35
113,113,guardians of the galaxy vol. 2,7,4,12,26
114,114,independence day,7,4,17,7
115,115,doctor strange,7,4,3,2
116,116,thor: the dark world,7,4,3,2
117,117,predator,7,4,15,32
118,118,mission: impossible - dead reckoning - part one,7,4,13,47
119,119,hit the first case,7,15,6,6
120,120,american made,7,2,10,15
121,121,el camino: a breaking bad movie,7,15,6,6
122,122,con air,7,15,13,50
123,123,dunkirk,7,1,9,38
124,124,aquaman,7,4,3,2
125,125,hellboy,7,4,3,2
126,126,baby driver,7,15,6,6
127,127,armageddon,7,4,17,7
128,128,the lord of the rings: the two towers,7,4,6,14
129,129,1917,7,1,8,38
130,130,the harder they fall,7,1,18,40
131,132,star wars: episode i - the phantom menace,7,4,3,2
132,133,sicario,7,15,6,6
133,134,oldeuboi,7,1,0,10
134,135,star trek,7,4,17,7
135,136,spider-man: into the spider-verse,3,12,1,34
136,137,the flash,7,4,3,2
137,138,the mortal instruments: city of bones,7,4,3,2
138,139,avengers: age of ultron,7,4,17,7
139,140,operation fortune: ruse de guerre,7,2,13,0
140,142,venom: let there be carnage,7,4,17,7
141,143,captain america: civil war,7,4,17,7
142,144,aliens,7,4,17,7
143,145,medieval,7,1,9,38
144,146,watchmen,7,1,0,10
145,147,ant-man,7,4,12,26
146,148,batman begins,7,15,6,6
147,149,the fifth element,7,4,17,7
148,150,the mummy,7,4,3,2
149,151,spree,7,2,10,15
150,152,pirates of the caribbean: dead men tell no tales,7,4,3,2
151,153,manyeo 2: lo go,7,3,13,0
152,154,the woman king,7,1,9,38
153,155,mission: impossible iii,7,4,13,47
154,156,mission: impossible - rogue nation,7,4,13,47
155,157,kingsman: the golden circle,7,4,12,26
156,158,starship troopers,7,4,17,7
157,159,spider-man: far from home,7,4,17,7
158,160,dune: part two,7,4,6,14
159,161,thunderbolts,7,4,17,7
160,162,mission: impossible ii,7,4,13,47
161,163,the incredible hulk,7,4,17,7
162,164,ghosted,7,4,2,2
163,165,fast x,7,15,0,43
164,166,ant-man and the wasp,7,4,12,26
165,167,apocalypto,7,4,6,14
166,168,the nice guys,7,2,10,15
167,169,the tomorrow war,7,4,6,14
168,170,transformers: rise of the beasts,7,4,17,7
169,171,robocop,7,15,17,36
170,172,divergent,7,4,0,61
171,173,transformers,7,4,17,7
172,174,the amazing spider-man,7,4,17,7
173,175,dungeons & dragons,7,4,3,2
174,176,birds of prey and the fantabulous emancipation of one harley quinn,7,4,12,26
175,177,x-men,7,4,17,7
176,178,the living daylights,7,4,13,47
177,179,casino royale,7,4,13,47
178,180,captain america: the winter soldier,7,4,17,7
179,181,star wars: episode vi - return of the jedi,7,4,3,2
180,182,wanted,7,15,13,50
181,183,red dawn,7,1,13,16
182,184,the hunger games: the ballad of songbirds and snakes,7,4,6,14
183,185,the meg,7,11,17,11
184,186,kill bill: vol. 1,7,15,6,6
185,187,rogue one,7,4,17,7
186,188,godzilla vs. kong,7,14,13,13
187,189,major,7,7,6,39
188,190,hitman's wife's bodyguard,7,2,10,15
189,191,edge of tomorrow,7,4,17,7
190,192,pan,7,4,12,26
191,193,the fugitive,7,15,6,6
192,194,jack reacher,7,3,13,0
193,195,the empire strikes back,7,4,3,2
194,196,collateral,7,15,6,6
195,197,the revenant,7,4,6,14
196,198,man of steel,7,4,17,7
197,199,tron,7,4,17,7
198,200,the shallows,7,1,15,28
199,201,the predator,7,4,17,7
200,202,army of thieves,7,2,10,15
201,203,star wars: episode iii - revenge of the sith,7,4,3,2
202,204,justice league,7,4,3,2
203,205,dune,7,4,17,7
204,206,khuda haafiz chapter ii: agni pariksha,7,15,6,6
205,207,eragon,7,4,16,7
206,208,infinite,7,14,13,13
207,209,ready player one,7,4,17,7
208,210,star wars: episode vii - the force awakens,7,4,17,7
209,211,willow,7,4,6,14
210,212,venom,7,4,17,7
211,213,natural born killers,7,15,6,6
212,214,point break,7,15,13,50
213,215,pirates of the caribbean: dead man's chest,7,4,3,2
214,216,the karate kid,7,1,16,28
215,217,san andreas,7,4,13,47
216,218,john carter,7,4,17,7
217,220,the guest,7,3,13,0
218,221,x-men: apocalypse,7,4,17,7
219,222,wonder woman 1984,7,4,3,2
220,223,overlord,7,11,17,11
221,224,black panther: wakanda forever,7,4,6,14
222,233,barbie,2,2,3,60
223,234,the sea beast,3,4,12,9
224,236,minions: the rise of gru,3,4,12,9
225,239,sing 2,3,4,12,9
226,247,the bad guys,3,4,12,9
227,249,ghostbusters: afterlife,2,2,3,60
228,254,interstellar,2,1,17,79
229,261,vr (vikrant rona),2,1,0,57
230,263,harry potter and the sorcerer's stone,2,13,3,48
231,265,the bob's burgers movie,3,4,12,9
232,266,the goonies,2,2,16,19
233,271,inglourious basterds,2,1,8,29
234,275,beast,2,1,15,73
235,293,the blue lagoon,2,1,2,4
236,308,back to the future,2,2,17,79
237,309,chip 'n dale: rescue rangers,3,4,12,9
238,310,minions,3,4,12,9
239,314,the little mermaid,2,13,3,48
240,315,the princess bride,2,13,3,48
241,318,turning red,3,4,12,9
242,319,luck,3,4,12,9
243,320,the grand budapest hotel,2,2,10,44
244,323,deliverance,2,1,13,49
245,328,pinocchio,2,2,6,53
246,333,green lantern: beware my power,3,4,17,52
247,341,moana,3,4,12,9
248,342,barry lyndon,2,1,8,29
249,347,almost famous,2,2,6,53
250,350,cars,3,4,12,9
251,352,ratatouille,3,4,12,9
252,353,despicable me,3,4,12,9
253,357,fantastic beasts: the crimes of grindelwald,2,13,3,48
254,359,mysterious island,2,13,3,48
255,362,the lion king,3,4,6,76
256,363,stardust,2,13,3,48
257,366,harry potter and the goblet of fire,2,13,3,48
258,369,idiocracy,2,2,17,79
259,372,sen to chihiro no kamikakushi,3,4,16,52
260,376,cruella,2,2,10,44
261,378,annihilation,2,1,15,73
262,384,the parent trap,2,2,6,53
263,385,beauty and the beast,2,13,3,48
264,389,time bandits,2,2,3,60
265,390,the green knight,2,1,3,60
266,391,ad astra,2,1,0,57
267,393,harry potter and the chamber of secrets,2,13,3,48
268,396,harry potter and the deathly hallows: part 2,2,10,0,1
269,398,harry potter and the deathly hallows: part 1,2,13,3,48
270,400,the railway children return,2,1,16,54
271,406,prometheus,2,3,17,52
272,410,harry potter and the prisoner of azkaban,2,13,3,48
273,417,the neverending story,2,1,16,54
274,420,toy story,3,4,12,9
275,423,the wizard of oz,2,13,3,48
276,424,transformers: the last knight,7,4,17,7
277,425,iron man three,7,4,17,7
278,426,goldfinger,7,4,13,47
279,427,the lost world: jurassic park,7,4,17,7
280,428,aladdin,2,2,16,19
281,429,fantastic beasts and where to find them,2,13,3,48
282,430,zootopia,3,4,12,9
283,431,wonder woman,7,4,3,2
284,432,jungle cruise,7,4,12,26
285,433,star wars: episode viii - the last jedi,7,4,3,2
286,434,the dirty dozen,7,4,8,80
287,435,tomb raider,7,4,3,2
288,437,e.t. the extra-terrestrial,2,13,17,69
289,438,jurassic park iii,7,4,17,7
290,439,wonka,2,2,16,19
291,440,time after time,2,1,17,79
292,441,sonic the hedgehog,7,4,12,26
293,442,scooby-doo,2,2,16,19
294,443,hercules,3,4,12,9
295,444,the amazing spider-man 2,7,4,17,7
296,445,speed,7,4,13,47
297,446,terminator genisys,7,4,17,7
298,447,jumanji: welcome to the jungle,7,4,12,26
299,448,avengers: the kang dynasty,7,4,17,7
300,449,star wars: episode ii - attack of the clones,7,4,3,2
301,450,knights of the zodiac,7,4,6,14
302,451,the blues brothers,7,4,12,26
303,452,into the wild,2,7,6,27
304,453,"the chronicles of narnia: the lion, the witch and the wardrobe",2,13,3,48
305,454,777 charlie,2,2,6,53
306,455,kate,7,4,10,51
307,456,spider-man 3,7,4,17,7
308,457,secret headquarters,7,4,12,26
309,458,finding nemo,3,4,12,9
310,459,fast & furious presents: hobbs & shaw,7,4,13,47
311,460,charlie and the chocolate factory,2,2,16,19
312,461,the hunger games: catching fire,7,4,17,7
313,462,coco,3,4,12,9
314,475,vengeance,1,3,13,20
315,476,hustle,1,1,4,24
316,482,emma.,1,1,2,4
317,483,the wolf of wall street,4,2,10,66
318,485,jug jugg jeeyo,1,1,16,54
319,486,bodies bodies bodies,1,11,13,23
320,488,knives out,1,15,6,22
321,490,don't look up,1,1,17,79
322,494,a league of their own,1,1,4,24
323,495,marcel the shell with shoes on,3,2,16,19
324,497,vicky cristina barcelona,1,1,2,4
325,498,licorice pizza,1,1,2,4
326,501,verdens verste menneske,1,1,2,4
327,502,gisaengchung,1,1,13,49
328,505,coda,1,1,5,24
329,506,the big short,4,2,6,18
330,508,encanto,3,2,16,19
331,509,jaadugar,1,1,3,4
332,510,jerry & marge go large,4,2,6,18
333,514,fresh,1,11,13,23
334,515,the little rascals,1,13,2,12
335,516,the munsters,1,13,3,12
336,518,father of the bride,1,1,2,4
337,521,the girl next door,1,1,2,4
338,523,the french dispatch,1,1,2,4
339,531,jojo rabbit,1,1,8,29
340,533,weird: the al yankovic story,4,2,5,18
341,534,mr. malcolm's list,1,1,2,4
342,535,mighty aphrodite,1,10,2,74
343,536,la la land,1,1,5,24
344,537,pitch perfect,1,0,2,4
345,538,marry me,1,0,2,4
346,539,the sandlot,1,1,16,54
347,543,hustlers,1,15,6,22
348,545,grease,1,8,2,31
349,551,love actually,1,1,2,4
350,553,10 things i hate about you,1,1,2,4
351,557,hocus pocus 2,1,13,3,12
352,558,sing,3,2,16,19
353,560,"crazy, stupid, love.",1,1,2,4
354,561,white noise,1,1,15,54
355,565,notting hill,1,1,2,4
356,566,he's just not that into you,1,1,2,4
357,567,clue,1,15,0,45
358,568,laal singh chaddha,1,1,2,4
359,571,about time,1,1,3,4
360,572,crazy rich asians,1,1,2,4
361,574,steel magnolias,1,1,2,4
362,575,hocus pocus,1,13,3,12
363,577,swiss army man,1,1,3,4
364,578,secretary,1,1,2,4
365,580,matilda,1,13,3,12
366,583,"three billboards outside ebbing, missouri",1,15,6,22
367,584,green book,4,2,6,18
368,585,la vita è bella,1,1,2,4
369,588,tropic thunder,7,2,8,38
370,590,war dogs,4,2,10,66
371,592,ready or not,7,2,15,28
372,594,good luck jerry,1,15,6,22
373,595,vice,4,2,6,18
374,596,mamma mia!,1,8,2,31
375,598,the world's end,7,2,17,40
376,600,in bruges,1,15,6,22
377,603,palm springs,1,10,0,1
378,606,the terminal,1,1,2,4
379,607,scott pilgrim vs. the world,7,2,3,35
380,608,jumanji,2,2,16,19
381,609,the intouchables,4,2,6,18
382,610,janhit mein jaari,1,1,2,4
383,611,charlie's angels,7,4,12,26
384,612,luca,3,4,12,9
385,613,cocktail,1,1,2,4
386,615,love and monsters,7,4,12,26
387,616,disenchanted,3,4,12,9
388,617,jumanji: the next level,7,4,12,26
389,618,the mask,7,2,10,15
390,619,the heat,7,2,10,15
391,620,hot fuzz,7,2,0,10
392,621,big trouble in little china,7,4,12,26
393,622,frozen,3,4,12,9
394,623,tangled,3,4,12,9
395,624,13 going on 30,1,10,2,74
396,625,incredibles 2,3,12,1,34
397,626,real genius,1,5,17,77
398,627,mamma mia! here we go again,1,8,2,31
399,628,hook,2,2,16,19
400,629,the princess diaries,1,13,2,12
401,630,beverly hills cop,7,2,10,15
402,631,men in black,7,4,12,26
403,632,untitled super mario project,3,4,12,9
404,633,diary of a wimpy kid,1,1,16,54
405,634,shrek,3,4,12,9
406,635,(500) days of summer,1,1,2,4
407,636,roald dahl's matilda the musical,1,1,16,54
408,637,inside out,3,4,12,9
409,638,nope,6,3,17,72
410,641,last night in soho,0,11,0,42
411,642,get out,6,3,13,37
412,643,men,0,10,15,17
413,644,orphan: first kill,8,1,15,75
414,645,us,6,3,13,37
415,646,orphan,6,3,13,37
416,647,midsommar,0,11,0,42
417,649,crimes of the future,0,11,17,8
418,651,umma,0,11,0,42
419,653,american psycho,8,1,15,75
420,654,scream,6,3,13,37
421,655,watcher,0,11,13,71
422,656,old,0,11,0,42
423,659,resurrection,8,1,15,75
424,660,bones and all,0,11,2,68
425,661,interview with the vampire: the vampire chronicles,0,10,15,17
426,665,srpski film,6,3,13,37
427,666,hereditary,0,11,0,42
428,668,the rental,0,11,0,42
429,669,it chapter two,0,10,15,17
430,670,the vvitch: a new-england folktale,0,10,15,17
431,671,eight for silver,5,11,0,25
432,672,jeepers creepers reborn,6,3,13,37
433,675,mad god,3,10,15,64
434,676,the thing,6,3,17,72
435,679,the conjuring,6,3,13,37
436,680,the mist,6,14,13,62
437,681,sinister,6,3,13,37
438,682,dracula,0,10,15,17
439,684,malignant,8,11,0,21
440,685,fear street: 1994,0,11,0,42
441,686,scream 6,6,3,13,37
442,687,mother!,0,11,0,42
443,688,de uskyldige,0,10,15,17
444,690,a quiet place part ii,0,11,17,8
445,691,a quiet place,0,11,17,8
446,693,suspiria,0,10,15,17
447,695,the lighthouse,0,10,15,17
448,697,insidious,6,3,13,37
449,698,doctor sleep,0,10,15,17
450,700,fear street: 1978,0,11,0,42
451,701,what ever happened to baby jane?,0,11,13,71
452,702,under the skin,0,11,0,42
453,705,bone tomahawk,0,11,18,8
454,707,psycho,6,3,13,37
455,708,alien: covenant,6,14,13,62
456,709,the hunt,7,11,13,33
457,710,underwater,7,11,17,11
458,711,from dusk till dawn,7,15,15,63
459,712,firestarter,0,11,17,8
460,714,lamb,0,10,15,17
461,715,army of the dead,7,15,15,63
462,716,28 days later...,0,11,17,8
463,717,they live,7,11,17,11
464,718,she will,0,11,13,71
465,719,it follows,6,3,13,37
466,720,el hoyo,6,14,13,62
467,721,world war z,7,4,15,32
468,722,the invisible man,0,11,0,42
469,723,malnazidos,7,4,3,2
470,724,constantine,7,10,15,30
471,725,texas chainsaw massacre,8,11,13,33
472,726,sweeney todd: the demon barber of fleet street,0,11,14,71
473,727,busanhaeng,7,11,13,33
474,728,the cabin in the woods,6,3,13,37
475,729,saw,6,3,13,37
476,730,life,6,14,13,62
477,731,megan is missing,0,11,13,71
478,732,10 cloverfield lane,0,11,0,42
479,733,the night house,6,3,13,37
480,734,the conjuring 2,6,3,13,37
481,735,the killing of a sacred deer,0,11,0,42
482,736,resident evil: apocalypse,7,11,17,11
483,737,the rocky horror picture show,1,11,14,23
484,738,the crow,7,15,6,6
485,739,jaws 2,2,11,13,56
486,740,unsane,0,11,0,42
487,741,vivarium,6,3,17,72
488,742,antichrist,0,11,13,71
489,743,event horizon,6,14,13,62
490,744,hotel transylvania: transformania,3,4,12,9
491,745,the descent,2,11,13,56
492,746,no one gets out alive,0,11,0,42
493,747,the craft,0,10,15,17
494,748,don't breathe,8,11,13,33
495,749,the others,6,3,13,37
496,751,titane,0,11,17,8
497,752,the conjuring: the devil made me do it,6,3,13,37
498,753,the house that jack built,8,1,15,75
499,754,evil dead rise,5,11,13,3
500,755,glass,0,11,17,8
501,756,house of darkness,1,11,0,1
502,757,the deep house,0,11,0,42
503,758,predator 2,7,11,17,11
504,759,the forever purge,7,11,13,33
505,760,gerald's game,0,11,13,71
506,761,friday the 13th,6,3,13,37
507,762,the new mutants,7,11,0,21
508,763,halloween,8,11,13,33
509,764,resident evil: retribution,7,11,17,11
510,765,antlers,0,11,0,42
511,766,the visit,6,3,13,37
512,767,resident evil: the final chapter,7,11,17,11
513,768,fantasy island,5,11,0,25
514,769,zombieland,7,2,15,28
515,770,alien³,7,11,17,11
516,771,the monster that challenged the world,6,14,13,62
517,772,little shop of horrors,1,11,14,23
518,773,species,7,11,17,11
519,774,the fly,0,11,17,8
520,775,escape room,7,4,15,32
521,776,sleepy hollow,5,11,0,25
522,777,gremlins,1,10,15,17
523,778,the nun,6,3,13,37
524,779,freaky,1,11,13,23
525,780,the purge,6,14,13,62
526,781,the turning,0,11,0,42
527,782,escape room: tournament of champions,7,4,15,32
528,783,don't breathe 2,7,15,15,63
529,784,end of days,7,10,15,30
530,785,in the mouth of madness,0,10,15,17
531,786,climax,0,11,5,55
532,787,the faculty,6,3,17,72
533,788,alien resurrection,7,11,17,11
534,789,scream 4,1,11,0,1
535,790,ang-ma-reul bo-at-da,7,15,6,6
536,791,mandy,7,10,15,30
537,792,spiral: from the book of saw,7,4,10,51
538,793,jaws 3-d,2,11,13,56
539,794,the invitation,0,11,0,42
540,795,the ritual,6,3,13,37
541,796,the cell,8,11,17,11
542,797,night teeth,7,15,6,6
543,798,the last house on the left,8,11,13,33
544,800,the green slime,0,11,17,8
545,801,death becomes her,1,10,15,17
546,802,brightburn,0,11,0,42
547,803,american carnage,1,11,0,1
548,804,ghostland,0,11,0,42
549,805,wendell and wild,3,4,12,9
550,806,blade: trinity,7,11,17,11
551,807,haunted mansion,1,1,16,54
552,808,resident evil: extinction,7,11,17,11
553,809,hellboy ii: the golden army,7,4,3,2
554,810,alone,0,11,0,42
555,813,where the crawdads sing,0,3,13,20
556,825,killers of the flower moon,8,1,9,38
557,838,deep water,0,3,13,20
558,846,pipa,8,1,0,41
559,848,se7en,8,1,0,41
560,856,fifty shades of grey,0,5,13,46
561,861,legend,4,15,6,67
562,864,the departed,8,1,13,16
563,866,the talented mr. ripley,8,1,13,16
564,869,joker,8,1,13,16
565,871,the outfit,8,1,0,41
566,880,eyes wide shut,0,3,13,20
567,886,nightmare alley,8,1,13,16
568,888,the silence of the lambs,8,1,13,16
569,889,prisoners,8,1,0,41
570,890,the prestige,0,3,17,5
571,894,gone girl,0,3,13,20
572,896,the voyeurs,0,3,13,20
573,898,no country for old men,8,1,13,16
574,904,ex machina,0,14,13,58
575,909,zero dark thirty,0,9,13,81
576,912,glass onion: a knives out mystery,8,1,13,16
577,914,sleepers,8,1,13,16
578,919,the usual suspects,8,1,0,41
579,921,the mule,8,1,13,16
580,922,wind river,8,1,0,41
581,923,5 against the house,8,1,11,15
582,931,the card counter,8,1,13,16
583,933,promising young woman,8,1,0,41
584,938,stillwater,8,1,13,16
585,945,the place beyond the pines,8,1,13,16
586,947,donnie darko,0,3,17,5
587,949,heojil kyolshim,8,1,0,41
588,951,reservoir dogs,8,1,13,16
589,952,the thomas crown affair,8,1,2,70
590,954,the guilty,8,1,13,16
591,955,the hateful eight,8,1,0,41
592,962,primal fear,8,1,0,41
593,964,a time to kill,8,1,13,16
594,966,the sixth sense,0,3,13,20
595,972,ah-ga-ssi,0,5,13,46
596,973,uncut gems,8,1,13,16
597,976,idi i smotri,0,6,8,65
598,978,the devil all the time,8,1,13,16
599,980,bad times at the el royale,8,1,0,41
600,985,basic instinct,0,3,13,20
601,988,nightcrawler,8,1,13,16
602,991,signs,0,3,17,5
603,992,the imitation game,4,1,13,78
604,998,red sparrow,7,1,13,16
605,1000,mulholland dr.,0,3,13,20
606,1001,the little things,8,1,0,41
607,1004,the game,0,3,13,20
608,1005,the lincoln lawyer,8,1,0,41
609,1006,salinui chueok,8,1,0,41
610,1008,terror on the prairie,0,6,18,59
611,1013,the devil's advocate,0,3,13,20
612,1014,the equalizer,7,15,13,50
613,1016,true romance,8,1,2,70
614,1018,unfaithful,0,5,13,46
615,1019,blue velvet,8,1,0,41
